PO_ID,Supplier,Order_Date,Delivery_Date,Item_Category,Order_Status,Quantity,Unit_Price,Negotiated_Price,Defective_Units,Compliance,Expected_Spend,Total_Spend,Savings_per_Order,Defect_Rate,Lead_time
PO-00001,Alpha_Inc,2023-10-17,2023-10-25,office supplies,Cancelled,1176,20.13,17.81,0.0,Yes,23672.879999999997,20944.559999999998,2728.3199999999997,0.0,8.0
PO-00002,Delta_Logistics,2022-04-25,2022-05-05,office supplies,Delivered,1509,39.32,37.34,235.0,Yes,59333.88,56346.060000000005,2987.8199999999924,15.573227302849569,10.0
PO-00003,Gamma_Co,2022-01-26,2022-02-15,mro,Delivered,910,95.51,92.26,41.0,Yes,86914.1,83956.6,2957.5,4.5054945054945055,20.0
PO-00004,Beta_Supplies,2022-10-09,2022-10-28,packaging,Delivered,1344,99.85,95.52,112.0,Yes,134198.4,128378.87999999999,5819.520000000004,8.333333333333332,19.0
PO-00005,Delta_Logistics,2022-09-08,2022-09-20,raw materials,Delivered,1180,64.07,60.53,171.0,No,75602.59999999999,71425.4,4177.199999999997,14.491525423728813,12.0
PO-00006,Epsilon_Group,2022-08-17,2022-08-29,mro,Delivered,1145,69.21,63.57,39.0,Yes,79245.45,72787.65,6457.800000000003,3.406113537117904,12.0
PO-00007,Gamma_Co,2022-05-23,2022-06-03,mro,Delivered,1774,51.37,47.82,96.0,No,91130.37999999999,84832.68000000001,6297.6999999999825,5.411499436302142,11.0
PO-00008,Alpha_Inc,2022-04-15,2022-04-29,mro,Delivered,1094,36.93,32.78,22.0,Yes,40401.42,35861.32,4540.0999999999985,2.010968921389397,14.0
PO-00009,Gamma_Co,2023-11-24,2023-11-28,raw materials,Partially delivered,1688,43.93,39.89,89.0,Yes,74153.84,67334.32,6819.5199999999895,5.2725118483412325,4.0
PO-00010,Gamma_Co,2023-07-13,2023-07-25,raw materials,Pending,171,76.87,70.2,8.0,Yes,13144.77,12004.2,1140.5699999999997,4.678362573099415,12.0
PO-00011,Epsilon_Group,2022-03-31,2022-04-15,raw materials,Delivered,5000,78.49,73.68,18.0,Yes,392450.0,368400.00000000006,24049.99999999994,0.36,15.0
PO-00012,Beta_Supplies,2023-08-28,2023-09-11,raw materials,Delivered,5000,88.96,86.58,115.0,Yes,444799.99999999994,432900.0,11899.999999999942,2.3,14.0
PO-00013,Beta_Supplies,2023-03-09,2023-03-26,electronics,Pending,5000,86.74,74.86,51.0,Yes,433700.0,374300.0,59400.0,1.02,17.0
PO-00014,Beta_Supplies,2022-02-02,,mro,Delivered,5000,18.3,16.88,0.0,Yes,91500.0,84400.0,7100.0,0.0,
PO-00015,Delta_Logistics,2022-01-31,2022-02-18,electronics,Pending,5000,54.5,48.45,22.0,Yes,272500.0,242250.0,30250.0,0.44,18.0
PO-00016,Beta_Supplies,2022-04-06,2022-04-21,packaging,Delivered,5000,15.41,15.12,0.0,Yes,77050.0,75600.0,1450.0,0.0,15.0
PO-00017,Delta_Logistics,2022-08-12,2022-08-31,mro,Delivered,1173,61.54,55.49,172.0,No,72186.42,65089.770000000004,7096.649999999994,14.663256606990622,19.0
PO-00018,Epsilon_Group,2022-08-27,2022-09-04,raw materials,Delivered,921,51.48,50.61,0.0,Yes,47413.079999999994,46611.81,801.2699999999968,0.0,8.0
PO-00019,Gamma_Co,2023-06-02,2023-06-05,raw materials,Partially delivered,1737,97.53,87.37,79.0,Yes,169409.61000000002,151761.69,17647.920000000013,4.548071387449626,3.0
PO-00020,Delta_Logistics,2023-09-09,2023-09-24,raw materials,Delivered,180,45.74,38.89,0.0,No,8233.2,7000.2,1233.000000000001,0.0,15.0
PO-00021,Epsilon_Group,2022-01-28,2022-02-12,electronics,Cancelled,1735,20.54,19.69,49.0,Yes,35636.9,34162.15,1474.75,2.824207492795389,15.0
PO-00022,Delta_Logistics,2023-07-29,2023-08-11,raw materials,Delivered,1382,24.93,23.75,0.0,Yes,34453.26,32822.5,1630.760000000002,0.0,13.0
PO-00023,Epsilon_Group,2022-07-23,2022-08-08,mro,Delivered,819,80.89,77.03,29.0,Yes,66248.91,63087.57,3161.340000000004,3.5409035409035408,16.0
PO-00024,Beta_Supplies,2023-10-28,2023-11-03,office supplies,Partially delivered,393,72.53,66.31,42.0,No,28504.29,26059.83,2444.459999999999,10.687022900763358,6.0
PO-00025,Beta_Supplies,2023-12-20,2024-01-01,mro,Delivered,1565,21.3,20.09,161.0,Yes,33334.5,31440.85,1893.6500000000015,10.287539936102236,12.0
PO-00026,Epsilon_Group,2023-07-13,2023-07-24,packaging,Delivered,1487,19.15,17.24,0.0,Yes,28476.05,25635.879999999997,2840.170000000002,0.0,11.0
PO-00027,Alpha_Inc,2023-03-06,2023-03-26,mro,Delivered,855,78.2,67.16,17.0,Yes,66861.0,57421.799999999996,9439.200000000004,1.9883040935672516,20.0
PO-00028,Epsilon_Group,2022-08-14,2022-08-23,raw materials,Delivered,435,17.13,15.84,8.0,Yes,7451.549999999999,6890.4,561.1499999999996,1.839080459770115,9.0
PO-00029,Delta_Logistics,2023-04-05,2023-04-22,mro,Delivered,1265,90.26,79.47,187.0,Yes,114178.90000000001,100529.55,13649.350000000006,14.782608695652174,17.0
PO-00030,Epsilon_Group,2023-08-27,,mro,Delivered,1005,80.55,73.31,30.0,Yes,80952.75,73676.55,7276.199999999997,2.9850746268656714,
PO-00031,Gamma_Co,2022-10-12,2022-10-26,electronics,Delivered,326,18.1,15.92,0.0,No,5900.6,5189.92,710.6800000000003,0.0,14.0
PO-00032,Alpha_Inc,2022-01-07,2022-01-15,office supplies,Delivered,1234,17.64,15.66,26.0,Yes,21767.760000000002,19324.44,2443.3200000000033,2.106969205834684,8.0
PO-00033,Epsilon_Group,2022-06-13,2022-06-29,mro,Delivered,509,101.27,97.82,19.0,Yes,51546.43,49790.38,1756.050000000003,3.732809430255403,16.0
PO-00034,Alpha_Inc,2023-12-16,2023-12-17,packaging,Delivered,1387,48.71,43.71,27.0,Yes,67560.77,60625.770000000004,6935.0,1.9466474405191059,1.0
PO-00035,Alpha_Inc,2023-03-09,2023-03-17,mro,Delivered,71,46.39,43.18,0.0,Yes,3293.69,3065.78,227.90999999999985,0.0,8.0
PO-00036,Epsilon_Group,2022-12-15,2022-12-23,office supplies,Delivered,302,87.73,81.52,9.0,Yes,26494.460000000003,24619.039999999997,1875.4200000000055,2.980132450331126,8.0
PO-00037,Epsilon_Group,2022-10-12,2022-10-31,office supplies,Pending,797,99.54,91.37,18.0,Yes,79333.38,72821.89,6511.490000000005,2.258469259723965,19.0
PO-00038,Beta_Supplies,2022-06-09,2022-06-27,office supplies,Pending,906,101.21,90.9,94.0,Yes,91696.26,82355.40000000001,9340.859999999986,10.375275938189846,18.0
PO-00039,Epsilon_Group,2022-08-09,2022-08-23,office supplies,Delivered,1634,80.53,76.15,50.0,Yes,131586.02,124429.1,7156.919999999984,3.0599755201958385,14.0
PO-00040,Epsilon_Group,2022-12-11,,office supplies,Delivered,524,46.28,39.65,14.0,Yes,24250.72,20776.6,3474.1200000000026,2.6717557251908395,
PO-00041,Beta_Supplies,2022-04-15,2022-04-27,electronics,Delivered,1132,17.78,15.36,96.0,Yes,20126.960000000003,17387.52,2739.4400000000023,8.480565371024735,12.0
PO-00042,Beta_Supplies,2022-04-05,2022-04-14,office supplies,Delivered,560,81.14,77.87,34.0,No,45438.4,43607.200000000004,1831.199999999997,6.071428571428571,9.0
PO-00043,Gamma_Co,2023-01-25,2023-02-02,electronics,Delivered,1755,63.87,58.4,85.0,Yes,112091.84999999999,102492.0,9599.849999999991,4.843304843304843,8.0
PO-00044,Epsilon_Group,2022-04-10,2022-04-17,mro,Delivered,1549,48.9,42.42,48.0,Yes,75746.09999999999,65708.58,10037.51999999999,3.0987734021949644,7.0
PO-00045,Delta_Logistics,2023-01-03,2023-01-21,mro,Delivered,749,97.07,94.16,123.0,Yes,72705.43,70525.84,2179.5899999999965,16.421895861148197,18.0
PO-00046,Alpha_Inc,2022-12-19,,electronics,Delivered,1025,21.11,19.25,15.0,Yes,21637.75,19731.25,1906.5,1.4634146341463417,
PO-00047,Beta_Supplies,2023-09-11,2023-09-18,raw materials,Delivered,1856,59.77,50.81,191.0,Yes,110933.12000000001,94303.36,16629.76000000001,10.29094827586207,7.0
PO-00048,Epsilon_Group,2022-09-28,2022-10-14,office supplies,Delivered,239,11.46,11.28,4.0,Yes,2738.94,2695.92,43.01999999999998,1.6736401673640167,16.0
PO-00049,Delta_Logistics,2022-02-14,2022-03-05,office supplies,Pending,1007,52.44,46.06,167.0,Yes,52807.079999999994,46382.420000000006,6424.659999999989,16.583912611717974,19.0
